Unique_Name,Mass,Class,Family,Guild,Include
Monodelphis brevicaudata,70,MAMMALIA,DIDELPHIDAE,Omnivore,0
Monodelphis glirina,40,MAMMALIA,DIDELPHIDAE,Omnivore,0
Monticola sharpei,24.8,AVES,MUSCICAPIDAE,NA,0
Mungos mungo,1925,MAMMALIA,HERPESTIDAE,Insectivore,1
Muntiacus muntjak,14000,MAMMALIA,CERVIDAE,Herbivore,1
Myoprocta acouchy,600,MAMMALIA,DASYPROCTIDAE,Herbivore,1
Myoprocta pratti,1880,MAMMALIA,DASYPROCTIDAE,Herbivore,1
Myrmeciza ferruginea,21,AVES,THAMNOPHILIDAE,Insectivore,0
Myrmeciza hyperythra,33,AVES,THAMNOPHILIDAE,Insectivore,0
Myrmecophaga tridactyla,22333,MAMMALIA,MYRMECOPHAGIDAE,Insectivore,1
Myrmoborus myotherinus,19,AVES,THAMNOPHILIDAE,Insectivore,0
Myrmornis torquata,46,AVES,THAMNOPHILIDAE,Insectivore,0
Myrmothera campanisona,47,AVES,FORMICARIIDAE,Insectivore,0
Mystacornis crossleyi,25,AVES,VANGIDAE,Insectivore,0
Nandinia binotata,2000,MAMMALIA,NANDINIIDAE,Omnivore,1
Nasua narica,4030,MAMMALIA,PROCYONIDAE,Omnivore,1
Nasua nasua,3794,MAMMALIA,PROCYONIDAE,Omnivore,1
Neofelis nebulosa,19852,MAMMALIA,FELIDAE,Carnivore,1
Neomorphus geoffroyi,350,AVES,CUCULIDAE,Omnivore,1
Nesillas typica,15,AVES,SYLVIIDAE,Insectivore,0
Nesoenas picturata,182,AVES,COLUMBIDAE,NA,0
Nesomys rufus,163,MAMMALIA,NESOMYIDAE,Herbivore,1
Nothocercus bonapartei,925,AVES,TINAMIDAE,Omnivore,1
Nothocrax urumutum,1700,AVES,CRACIDAE,NA,1
Numida meleagris,1375,AVES,NUMIDIDAE,Omnivore,1
Odocoileus virginianus,55509,MAMMALIA,CERVIDAE,Herbivore,1
Odontophorus gujanensis,280,AVES,ODONTOPHORIDAE,Omnivore,1
Odontophorus guttatus,300,AVES,ODONTOPHORIDAE,Omnivore,1
Odontophorus leucolaemus,275,AVES,ODONTOPHORIDAE,Omnivore,1
Odontophorus stellatus,295,AVES,ODONTOPHORIDAE,Omnivore,1
Orycteropus afer,52350,MAMMALIA,ORYCTEROPODIDAE,Insectivore,1
Paguma larvata,4300,MAMMALIA,VIVERRIDAE,Insectivore,1
Pan troglodytes,45000,MAMMALIA,HOMINIDAE,Omnivore,1
Panthera onca,100000,MAMMALIA,FELIDAE,Carnivore,1
Panthera pardus,55615,MAMMALIA,FELIDAE,Carnivore,1
Panthera tigris,162564,MAMMALIA,FELIDAE,Carnivore,1
Papio anubis,21250,MAMMALIA,CERCOPITHECIDAE,Omnivore,1
