id,mammal_id,spcrecid,kingdom,phylum,class,order_team,family,genus,species,common_names_eng,red_list_status_id,mass,guild,wpi_include
336,6924,NA,ANIMALIA,CHORDATA,MAMMALIA,CARNIVORA,CANIDAE,Atelocynus,microtis,"Short-eared Dog, Short-eared Fox, Small-eared Dog, Small-eared Zorro",9,7750,Carnivore,t
337,2353,NA,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,HYSTRICIDAE,Atherurus,africanus,African Brush-tailed Porcupine,8,1934,Omnivore,t
338,2354,NA,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,HYSTRICIDAE,Atherurus,macrourus,Asiatic Brush-tailed Porcupine,8,2000,Omnivore,t
339,41590,NA,ANIMALIA,CHORDATA,MAMMALIA,CARNIVORA,HERPESTIDAE,Atilax,paludinosus,"Marsh Mongoose, Water Mongoose",8,3300,Carnivore,t
9284,NA,1056,ANIMALIA,CHORDATA,AVES,CORACIIFORMES,MOMOTIDAE,Baryphthengus,martii,Rufous Motmot,8,195,Omnivore,t
394,41591,NA,ANIMALIA,CHORDATA,MAMMALIA,CARNIVORA,HERPESTIDAE,Bdeogale,crassicauda,"Bushy-tailed Mongoose, Sokoke Bushy-tailed Mongoose",8,1550,Carnivore,t
396,41592,NA,ANIMALIA,CHORDATA,MAMMALIA,CARNIVORA,HERPESTIDAE,Bdeogale,nigripes,"Black-footed Mogoose, Black-legged Mongoose",8,2500,Carnivore,t
9173,NA,1046,ANIMALIA,CHORDATA,AVES,CORACIIFORMES,BRACHYPTERACIIDAE,Brachypteracias,squamiger,Scaly Ground-roller,5,170,Insectivore,t
475,3412,NA,ANIMALIA,CHORDATA,MAMMALIA,CINGULATA,DASYPODIDAE,Cabassous,centralis,Northern Naked-tailed Armadillo,7,3810,Insectivore,t
477,3414,NA,ANIMALIA,CHORDATA,MAMMALIA,CINGULATA,DASYPODIDAE,Cabassous,tatouay,Greater Naked-tailed Armadillo,8,5350,Insectivore,t
478,3415,NA,ANIMALIA,CHORDATA,MAMMALIA,CINGULATA,DASYPODIDAE,Cabassous,unicinctus,Southern Naked-Tailed Armadillo,8,4800,Insectivore,t
533,3595,NA,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,SCIURIDAE,Callosciurus,erythraeus,Pallas's Squirrel,8,280,Herbivore,t
6819,NA,2820,ANIMALIA,CHORDATA,AVES,GRUIFORMES,RALLIDAE,Canirallus,kioloides,Madagascar Wood Rail,8,269,Omnivore,t
6818,NA,2819,ANIMALIA,CHORDATA,AVES,GRUIFORMES,RALLIDAE,Canirallus,oculeus,Grey-throated Rail,8,277,Omnivore,t
571,3753,NA,ANIMALIA,CHORDATA,MAMMALIA,CARNIVORA,CANIDAE,Canis,adustus,Side-striped Jackal,8,10250,Carnivore,t
593,3814,NA,ANIMALIA,CHORDATA,MAMMALIA,CETARTIODACTYLA,BOVIDAE,Capricornis,milneedwardsii,"Chinese Serow, Southwest China Serow",9,160000,Herbivore,t
595,3812,NA,ANIMALIA,CHORDATA,MAMMALIA,CETARTIODACTYLA,BOVIDAE,Capricornis,sumatraensis,"Serow, Sumatran Serow",5,140000,Herbivore,t
600,18306,NA,ANIMALIA,CHORDATA,MAMMALIA,CARNIVORA,FELIDAE,Caracal,aurata,"African Golden Cat, Golden Cat",9,16000,Carnivore,t
642,4138,NA,ANIMALIA,CHORDATA,MAMMALIA,CETARTIODACTYLA,BOVIDAE,Cephalophus,callipygus,"Peter's Duiker, Peters' Duiker",8,18250,Herbivore,t
643,4139,NA,ANIMALIA,CHORDATA,MAMMALIA,CETARTIODACTYLA,BOVIDAE,Cephalophus,dorsalis,Bay Duiker,8,20000,Omnivore,t
644,4154,NA,ANIMALIA,CHORDATA,MAMMALIA,CETARTIODACTYLA,BOVIDAE,Cephalophus,harveyi,"Harvey's Duiker, Harvey's Red Duiker",8,14500,Herbivore,t
646,4141,NA,ANIMALIA,CHORDATA,MAMMALIA,CETARTIODACTYLA,BOVIDAE,Cephalophus,leucogaster,White-bellied Duiker,8,12700,Herbivore,t
648,4145,NA,ANIMALIA,CHORDATA,MAMMALIA,CETARTIODACTYLA,BOVIDAE,Cephalophus,niger,Black Duiker,8,20400,Herbivore,t
649,4146,NA,ANIMALIA,CHORDATA,MAMMALIA,CETARTIODACTYLA,BOVIDAE,Cephalophus,nigrifrons,Black-fronted Duiker,8,13900,Herbivore,t
650,4148,NA,ANIMALIA,CHORDATA,MAMMALIA,CETARTIODACTYLA,BOVIDAE,Cephalophus,ogilbyi,Ogilby's Duiker,8,20000,Herbivore,t
652,4150,NA,ANIMALIA,CHORDATA,MAMMALIA,CETARTIODACTYLA,BOVIDAE,Cephalophus,silvicultor,Yellow-backed Duiker,8,72500,Herbivore,t
653,4151,NA,ANIMALIA,CHORDATA,MAMMALIA,CETARTIODACTYLA,BOVIDAE,Cephalophus,spadix,"Abbott's Duiker, Minde",4,56000,Omnivore,t
654,4152,NA,ANIMALIA,CHORDATA,MAMMALIA,CETARTIODACTYLA,BOVIDAE,Cephalophus,weynsi,"Weyn's Duiker, Weyns' Duiker",8,2001,Herbivore,t
665,136615,NA,ANIMALIA,CHORDATA,MAMMALIA,PRIMATES,CERCOPITHECIDAE,Cercocebus,agilis,Agile Mangabey,8,8000,Omnivore,t
