"Var1","Freq"
"472","Klarobelia",34
"473","Knema",109
"474","Koilodepas",10
"475","Kokoona",2
"476","Koompassia",16
"477","Kotchubaea",13
"478","Kraussia",7
"479","Kutchubaea",12
"480","Labramia",21
"481","Laccodiscus",6
"482","Lacistema",100
"483","Lacmellea",230
"484","Lacunaria",266
"485","Ladenbergia",13
"486","Laetia",218
"487","Lafoensia",3
"488","Lagerstromia",17
"489","Lagynias",254
"490","Lansium",2
"491","Lasiodiscus",2
"492","Lauraceae",6
"493","Laxoplumeria",14
"494","Lecointea",16
"495","Lecomtedoxa",72
"496","Lecythis",2435
"497","Leea",3
"498","Leonia",288
"499","Lepidotrichilia",16
"500","Lepisanthes",6
"501","Leptaulus",314
"502","Leptonychia",976
"503","Lettowianthus",260
"504","Licania",7329
"505","Licaria",554
"506","Lindackeria",403
"507","Lithocarpus",274
"508","Litsea",201
"509","Lonchocarpus",178
"510","Lophira",18
"511","Lophopetalum",8
"512","Loreya",18
"513","Lovoa",69
"514","Lozania",8
"515","Ludia",831
"516","Luehea",52
"517","Lueheopsis",60
"518","Luehopsis",3
"519","Lunania",128
"520","Lycianthes",3
"521","Mabea",737
"522","Macaranga",2678
"523","Machaerium",5
"524","Maclurodendron",2
"525","Macphersonia",27
"526","Macrocnemum",40
"527","Macrohasseltia",77
"528","Macrolobium",1075
"529","Macropanax",18
"530","Madhuca",30
"531","Maesa",301
"532","Maesobotrya",33
"533","Maesopsis",71
"534","Magnistipula",16
"535","Magnolia",139
"536","Malanochyla",1
"537","Malleastrum",71
"538","Mallotus",277
"539","Malmea",51
"540","Malouetia",99
"541","Mammea",394
"542","Mangifera",22
"543","Manilkara",1164
"544","Maprounea",10
"545","Maquira",420
"546","Maranthes",123
"547","Marcgravia",3
"548","Mareyopsis",10
"549","Margaritaria",109
"550","Marila",304
"551","Maripa",1
"552","Markhamia",533
"553","Marlierea",20
"554","Marmaroxylon",16
"555","Martiodendron",52
"556","Mascarenhasia",1001
"557","Massularia",4
"558","Mastixia",4
"559","Matayba",147
"560","Matisia",655
"561","Mauria",6
"562","Mauritia",4
"563","Mauritiella",10
"564","Maximiliana",6
"565","Maytenus",88
"566","Mdumbadumba",1
"567","Meiogyne",2
"568","Melanochyla",54
"569","Melanochylla",2
"570","Melanophylla",175
"571","Melia",24
"572","Melicoccus",37
"573","Melicope",24
"574","Meliosma",47
"575","Memecylon",102
"576","Meriania",55
"577","Mesua",65
"578","Metrododorea",6
"579","Meyogine",4
"580","Mezilaurus",261
"581","Mezzettia",7
"582","Miconia",1059
"583","Micrandra",90
"584","Micrandropsis",529
"585","Microcos",52
"586","Micronychia",38
"587","Micropholis",1832
"588","Microsdesmis",2
"589","Microtropis",82
"590","Milicia",7
"591","Millettia",973
"592","Mimulopsis",152
"593","Minquartia",791
"594","Mitrephora",28
"595","Mnunganunga",10
"596","Mollia",4
"597","Mollinedia",168
"598","Mollotus",52
"599","Monocarpia",6
"600","Monodora",37
"601","Morella",3
"602","Morinda",10
"603","Moronobea",20
"604","Mosannona",7
"605","Mosquitoxylum",21
"606","Mouriri",495
"607","Msengela",1
"608","Muntinga",3
"609","Musanga",10
"610","Mussaenda",235
"611","Mycronychia",1
"612","Myrcia",593
"613","Myrciaria",17
"614","Myrianthus",315
"615","Myrica",20
"616","Myristica",43
"617","Myroxylon",5
"618","Myrsine",3237
"619","Mystroxylon",6
"620","Nageia",2
"621","Nauclea",91
"622","Naucleopsis",865
"623","Nealchornea",14
"624","Nectandra",371
"625","Neea",742
"626","Neea/Guapira",2
"627","Neesia",2
"628","Neobalanocarpus",17
"629","Neoboutonia",203
"630","Neolamarckia",6
"631","Neonauclea",4
"632","Neoraputia",6
"633","Neoscortechinia",63
"634","Neotina",30
"635","Neouvaria",4
"636","Nephelium",91
"637","Nesogordonia",7
"638","Newtonia",345
"639","Noronhia",451
"640","Norrisia",12
"641","Nothaphoebe",6
"642","Nuxia",443
"643","Nyctaginaceae",10
"644","Ochanostachys",34
"645","Ochna",75
"646","Ochroma",7
"647","Ocotea",3963
"648","Octodes",4
"649","Octoknema",54
"650","Octomeles",24
"651","Oedematopus",20
"652","Oenocarpus",3145
"653","Olea",12
"654","Olinia",25
"655","Olmedia",6
"656","Omphalea",288
"657","Omphalocarpum",10
"658","Oncoba",132
"659","Oncosperma",82
"660","Oncostemum",336
"661","Ongokea",8
"662","Onychapetalum",40
"663","Orania",2
"664","Oreomunnea",26
"665","Oreopanax",71
"666","Oricia",2
"667","Ormosia",261
"668","Orophea",10
"669","Osteophloeum",190
"670","Otoba",744
"671","Oubanguia",837
"672","Ouratea",254
"673","Oxandra",245
"674","Oxyanthus",21
"675","Pachira",180
"676","Pachyelasma",4
"677","Pachypodanthium",6
"678","Palaquium",96
"679","Palicourea",24
"680","Pancovia",337
"681","Panda",94
"682","Pandanus",269
"683","Papilionoidea",3
"684","Paracroton",2
"685","Paradrypetes",6
"686","Parahancornia",52
"687","Paranephelium",85
"688","Parashorea",3
"689","Parathesis",26
"690","Parinari",1735
"691","Parishia",4
"692","Parkia",347
"693","Paropsia",16
"694","Patinoa",4
"695","Pauridiantha",121
"696","Pausandra",229
"697","Pausinystalia",147
