"plot","PlotCodes","nbsp","sing.sp","FEve","FDis","RaoQ","CWM.maxD","CWM.WD2","TRich","LRich","NStemsT","TShan","NStemsL","Cstorage","Cstorage2"
"VG-RNF-2","RNF",74,74,0.651848469530444,1.23782105012976,1.77320863438973,45.8215767634855,0.604455702736278,77,2,1015,3.68085705897326,2,263683.511445189,207292.278671129
"VG-UDZ-1","UDZ",30,30,0.631241871618303,1.00157915751181,1.48723751395875,62.7355056179775,0.686147646729871,31,0,456,2.05570257752094,0,134158.600284031,169099.493723872
"VG-UDZ-2","UDZ",37,37,0.486523978830203,0.730981703421788,0.887459519144049,76.036032388664,0.640406526445421,38,2,538,2.92019567154459,4,181390.01443499,207607.440570947
"VG-UDZ-3","UDZ",19,19,0.436966179096588,0.608721975526812,0.638916617424357,74.9709956709957,0.577602113793299,20,0,466,1.48300135040568,0,128897.139570001,147284.776988761
"VG-UDZ-4","UDZ",44,44,0.346140873578558,0.983751274723225,1.16035450750925,64.7424107142857,0.663581389842507,45,4,690,3.11371631168971,15,163336.896093453,184259.927434044
"VG-UDZ-5","UDZ",22,22,0.683384283914789,1.78212805329881,3.3148332867231,87.7284482758621,0.56296337440598,22,4,467,1.68344297526319,9,85662.5428967446,90702.7512961954
"VG-UDZ-6","UDZ",34,34,0.42059019717801,0.988042008762853,1.14287606157017,70.2081967213115,0.661333300330232,35,2,599,2.76993569472936,6,170415.243919791,198673.200253736
"VG-VB-1","VB-",69,69,0.611643632424071,1.57669831362705,2.90818079655572,52.7323325635104,0.501062993802541,69,3,433,3.39115134813553,6,126586.293755526,117060.727212456
"VG-VB-10","VB-",26,26,0.537089321011183,1.23457659556349,1.86427105991238,59.0509842519685,0.550776890334717,27,0,583,2.83224399087101,0,211229.271487107,196039.030485232
"VG-VB-2","VB-",72,72,0.606888560777455,1.36893226800272,2.3722906015586,56.4094017094017,0.557840305997277,73,3,469,3.64259197494593,7,150072.322104632,138341.064084149
"VG-VB-3","VB-",105,105,0.622146691096857,1.09326516659237,1.62186130000445,51.0295221843003,0.595478983097746,106,7,591,4.09754917803146,22,152872.216891778,141984.768455772
"VG-VB-4","VB-",98,98,0.583666355151089,1.12489674321382,1.80434728834245,49.4377535101404,0.595929240673336,99,4,652,3.89552238437687,12,148512.569552111,138735.67984281
"VG-VB-5","VB-",38,38,0.577444763651221,1.17812066452341,1.99762969151773,65.5247826086957,0.558631427629272,40,0,494,2.98826925409469,2,149202.373416101,140226.920014838
"VG-VB-6","VB-",14,14,0.246103481684347,1.21335037813654,1.72609527804949,55.4390977443609,0.638518367618611,14,0,1203,1.73381879812014,2,341662.777488724,318778.269900882
"VG-VB-7","VB-",51,51,0.537117439366897,1.24210132335725,1.7842852509048,48.6043927648579,0.559356744687204,52,1,420,3.37774616632588,2,105471.00025952,98423.010647312
"VG-VB-8","VB-",43,43,0.642666977963428,1.19315614244514,1.64100539335411,49.8680306905371,0.55455816913434,43,0,405,3.04560924108487,0,127105.27341865,118161.79295276
"VG-VB-9","VB-",72,72,0.564400462652302,1.51516910307691,2.74981326163404,56.753050397878,0.526966366521535,73,4,378,3.53747567039273,5,149825.723117987,137601.926032102
"VG-YAN-5","YAN",83,83,0.659502216904076,1.22517708654759,1.95087738075782,37.75936,0.54471339964943,87,0,781,3.60415313308722,0,107480.291707292,116325.822796959
"VG-YAS-1","YAS",118,118,0.59528462253684,1.33599509797176,2.46053014200694,47.3874418604651,0.595114495616597,119,5,652,4.11639382351452,9,139033.097940443,123691.394720273
"VG-YAS-2","YAS",129,129,0.648805792574027,1.34730704208885,2.54461149549228,43.4338526912181,0.565127214447422,131,8,720,4.12132202838931,15,138800.381032786,124663.948250981
"VG-YAS-3","YAS",127,127,0.616202555652845,1.21531988618835,2.28126498121643,42.2770096463022,0.595558191640618,130,7,671,4.15168895294097,11,118357.873241634,106326.839596016
"VG-YAS-4","YAS",142,142,0.639930992085686,1.32163454628349,2.41681642674271,43.1534265734266,0.578229004178334,144,6,721,4.28174660721964,14,133623.623002327,119484.977007696
"VG-YAS-5","YAS",131,131,0.61073042638405,1.24214172159138,2.27782864934908,44.7851955307263,0.587600255958965,132,8,724,4.14417659143883,14,120437.746655902,108242.206203986
"VG-YAS-6","YAS",119,119,0.599039182576728,1.04137421158225,1.76516345963985,41.6024734982332,0.591031295837249,121,6,612,4.1109922623699,10,140473.153157202,126065.761576363
