"Plot","Cstorage"
"UDZ.2010.01.VG-UDZ-5",83768.2801008319
"UDZ.2010.01.VG-UDZ-6",166970.276764135
"UDZ.2011.01.VG-UDZ-1",133334.038510366
"UDZ.2011.01.VG-UDZ-2",170598.582392677
"UDZ.2011.01.VG-UDZ-3",128336.023442973
"UDZ.2011.01.VG-UDZ-4",165232.281323665
"UDZ.2011.01.VG-UDZ-5",86032.9327556666
"UDZ.2011.01.VG-UDZ-6",167713.511289707
"UDZ.2012.01.VG-UDZ-1",134394.012818707
"UDZ.2012.01.VG-UDZ-2",172679.305594392
"UDZ.2012.01.VG-UDZ-3",129429.493450395
"UDZ.2012.01.VG-UDZ-4",186803.244946885
"UDZ.2012.01.VG-UDZ-5",87292.4539491198
"UDZ.2012.01.VG-UDZ-6",168748.93005385
"UDZ.2013.01.VG-UDZ-1",135055.980732029
"UDZ.2013.01.VG-UDZ-2",170041.890607774
"UDZ.2013.01.VG-UDZ-3",130336.005015925
"UDZ.2013.01.VG-UDZ-4",165555.343056665
"UDZ.2013.01.VG-UDZ-5",89988.1517420939
"UDZ.2013.01.VG-UDZ-6",169937.275073661
"VB-.2003.01.VG-VB-1",121889.108942491
"VB-.2004.01.VG-VB-1",116516.004998269
"VB-.2004.01.VG-VB-2",134633.086803055
"VB-.2005.01.VG-VB-1",114601.449834019
"VB-.2005.01.VG-VB-2",138209.230820836
"VB-.2006.01.VG-VB-1",115650.93085091
"VB-.2006.01.VG-VB-2",138935.273906568
"VB-.2006.01.VG-VB-3",153061.733947214
"VB-.2006.01.VG-VB-4",144558.079515179
"VB-.2007.01.VG-VB-1",118766.137619891
"VB-.2007.01.VG-VB-2",142847.136126843
"VB-.2007.01.VG-VB-3",152403.947603676
"VB-.2007.01.VG-VB-4",143712.855471702
"VB-.2008.01.VG-VB-1",120229.129457407
"VB-.2008.01.VG-VB-2",142541.53867578
"VB-.2008.01.VG-VB-3",153429.990887768
"VB-.2008.01.VG-VB-4",145749.079046196
"VB-.2008.01.VG-VB-5",151628.003273938
"VB-.2008.01.VG-VB-6",329534.558640119
"VB-.2009.01.VG-VB-1",123975.859967716
"VB-.2009.01.VG-VB-2",145482.413647552
