"(Intercept)","Elev.CV","RainTotal","V.NStemsT","Latitude","V.TShan","ForestLossZOI","V.Cstorage2","PA_area","df","logLik","AICc","delta","weight"
2.85282876220488,-0.133507371837021,NA,NA,NA,NA,NA,NA,NA,3,1.06086380038934,6.27827239922132,7.58186446606274,0.00793317681369335
2.85282876220488,NA,NA,NA,-0.0987033363937991,0.101076945839814,-0.119736120195125,NA,NA,5,5.60482621385999,6.29034757228002,7.59393963912144,0.00788542387354138
2.85282876220488,-0.166084514116722,0.131764059470496,NA,-0.111429836167549,NA,-0.0509582759644625,NA,NA,6,8.84240293138115,6.31519413723769,7.61878620407911,0.00778806702327256
2.85282876220488,-0.119942934375467,NA,NA,NA,0.113301445561926,NA,NA,NA,4,2.92241662553494,6.59961119337457,7.90320326021599,0.00675568359978407
2.85282876220488,NA,NA,NA,NA,0.127661001384204,NA,NA,NA,3,0.866343641100907,6.66731271779819,7.9709047846396,0.00653082583517754
2.85282876220488,-0.11380333277187,NA,NA,-0.111588265070015,0.105823402867858,NA,NA,NA,5,5.3920612364372,6.7158775271256,8.01946959396701,0.00637415159146415
2.85282876220488,NA,NA,NA,-0.117793610769738,0.118991202825004,NA,NA,NA,4,2.85867280033969,6.72709884376507,8.03069091060649,0.00633848854494504
2.85282876220488,NA,NA,NA,-0.126551554023778,NA,NA,NA,NA,3,0.830997320245652,6.7380053595087,8.04159742635012,0.00630401720836145
2.85282876220488,-0.0982950414048995,NA,NA,-0.101649160810203,NA,-0.109743487910773,NA,NA,5,5.37733418216893,6.74533163566214,8.04892370250356,0.00628096696677312
2.85282876220488,-0.186899076363512,0.162645057232564,NA,-0.113729663723384,NA,NA,0.0336968889698267,NA,6,8.53431214596925,6.9313757080615,8.23496777490292,0.00572305016003279
2.85282876220488,NA,NA,NA,NA,NA,NA,NA,NA,2,-0.92981423456134,6.95053756003177,8.25412962687319,0.00566847987440949
2.85282876220488,NA,NA,-0.115587205818626,NA,0.144407458081588,NA,NA,NA,4,2.73941122052137,6.96562200340171,8.26921407024313,0.0056258877640536
2.85282876220488,-0.1620286996256,0.11965677076994,NA,NA,NA,-0.0746292738337989,NA,NA,5,5.25046013125992,6.99907973748016,8.30267180432158,0.00553255588061144
2.85282876220488,-0.0921143268103325,NA,NA,NA,0.0984313066476847,-0.112809810357939,NA,NA,5,5.22242803029302,7.05514393941396,8.35873600625538,0.00537962028319993
2.85282876220488,-0.13652140130436,NA,-0.10561186901315,NA,NA,-0.0895215870104583,NA,NA,5,5.17589587381069,7.14820825237863,8.45180031922004,0.00513502974451786
