"Unique_Name","Mass","Class","Family","Guild","Include","Order","Family","Genus","Species","Binomial","ActivityCycle","AdultBodyMass_g","AdultForearmLen_mm","AdultHeadBodyLen_mm","AgeatEyeOpening_d","AgeatFirstBirth_d","BasalMetRate_mLO2hr","BasalMetRateMass_g","DietBreadth","DispersalAge_d","GestationLen_d","HabitatBreadth","HomeRange_km2","HomeRange_Indiv_km2","InterbirthInterval_d","LitterSize","LittersPerYear","MaxLongevity_m","NeonateBodyMass_g","NeonateHeadBodyLen_mm","PopulationDensity_n.km2","PopulationGrpSize","SexualMaturityAge_d","SocialGrpSize","TeatNumber","Terrestriality","TrophicLevel","WeaningAge_d","WeaningBodyMass_g","WeaningHeadBodyLen_mm","References","AdultBodyMass_g_EXT","LittersPerYear_EXT","NeonateBodyMass_g_EXT","WeaningBodyMass_g_EXT","GR_Area_km2","GR_MaxLat_dd","GR_MinLat_dd","GR_MidRangeLat_dd","GR_MaxLong_dd","GR_MinLong_dd","GR_MidRangeLong_dd","HuPopDen_Min_n.km2","HuPopDen_Mean_n.km2","HuPopDen_5p_n.km2","HuPopDen_Change","Precip_Mean_mm","Temp_Mean_01degC","AET_Mean_mm","PET_Mean_mm"
"Canis adustus",10250,"MAMMALIA","CANIDAE","Carnivore",1,"Carnivora","Canidae","Canis","adustus","Canis adustus",1,10392.49,NA,745.32,NA,NA,NA,NA,6,329.99,65,1,1.01,1.01,NA,4.5,NA,137,NA,NA,0.74,NA,249.88,NA,8,1,2,52.89,NA,NA,"542;543;730;1113;1297;1573;2655",NA,NA,NA,NA,10581413.14,16.72,-28.73,-6,43.55,-17.53,13,0,35.2,1,0.14,90.75,236.51,922.9,1534.4
"Capricornis milneedwardsii",160000,"MAMMALIA","BOVIDAE","Herbivore",1,"Artiodactyla","Bovidae","Capricornis","milneedwardsii","Capricornis milneedwardsii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2334828.77,35.55,7.68,21.61,122.13,93.18,107.66,1,159.63,4,0.07,131.68,145.73,983.38,1183.97
"Capricornis sumatraensis",140000,"MAMMALIA","BOVIDAE","Herbivore",1,"Artiodactyla","Bovidae","Capricornis","sumatraensis","Capricornis sumatraensis",NA,110942.22,NA,1449.99,NA,NA,NA,NA,2,NA,231.37,NA,NA,NA,NA,1.22,NA,252,4100,NA,NA,NA,NA,NA,4,NA,1,166.34,NA,NA,"543;899;1297;1848;1964;2555;2655",NA,NA,NA,NA,237174.87,8.99,-5.94,1.52,104.72,95.18,99.95,3,95.83,17,0.11,227.32,246.68,1679.87,1776.28
"Caracal aurata",16000,"MAMMALIA","FELIDAE","Carnivore",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Caracara plancus",1250,"AVES","FALCONIDAE","Carnivore",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cathartes aura",1550,"AVES","CATHARTIDAE","Carnivore",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cebus albifrons",2629,"MAMMALIA","CEBIDAE","Omnivore",0,"Primates","Cebidae","Cebus","albifrons","Cebus albifrons",3,2509.68,NA,384.28,NA,1467.3,NA,NA,5,NA,158.29,2,0.53,0.15,547.5,1.01,NA,528,231.92,NA,16.79,NA,1501.69,25,NA,2,2,270.32,917.69,NA,"208;543;730;890;1017;1297;1544;1547;1611;1763;1768;1848;2151;2251;2344;2463;2489;2493;2511;2655;2660;2986",NA,0.89,NA,NA,3105886.13,11.56,-13.21,-0.82,-55.24,-81,-68.12,0,8.75,0,0.11,192.99,252.69,1466.66,1559.7
"Cebus apella",2500,"MAMMALIA","CEBIDAE","Omnivore",0,"Primates","Cebidae","Cebus","apella","Cebus apella",3,2758.38,NA,422.69,NA,2058.6,NA,NA,6,NA,154.99,2,0.88,1.8,657,1.05,NA,541.2,231.38,NA,23.77,NA,1760.81,7.9,NA,2,2,263.12,1113.05,NA,"208;543;730;890;1017;1132;1201;1297;1544;1547;1763;1767;1848;2151;2251;2308;2344;2463;2489;2493;2655;2660;2986",NA,0.81,NA,NA,10768851.82,7.12,-28.66,-10.77,-34.79,-78.14,-56.46,0,20.1,0,0.11,154.19,241.17,1291.77,1516.85
"Cebus capucinus",2733,"MAMMALIA","CEBIDAE","Omnivore",0,"Primates","Cebidae","Cebus","capucinus","Cebus capucinus",3,3005.99,NA,377.82,NA,1460,NA,NA,4,NA,161.06,2,0.35,0.63,790.83,1.01,NA,657.6,238.36,NA,27.27,NA,2134.73,18.15,NA,2,2,514.07,1349.99,NA,"208;543;730;890;1017;1052;1297;1544;1547;1767;1848;2151;2344;2463;2489;2493;2655;2660;2986",NA,0.74,NA,NA,431037.87,16.02,1.46,8.74,-74.85,-88.77,-81.81,2,50.9,3,0.14,216.57,240.5,1382.23,1666.97
"Centropus sinensis",252,"AVES","CUCULIDAE","Omnivore",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
